id,18~20_ride
415423,6.191185
415424,13.296333
415425,4.487432
415426,47.530033
415427,0.12610261
415428,0.35651124
415429,0.107824475
415430,0.43607965
415431,0.7096691
415432,0.9550557
415433,0.10084
415434,0.1701447
415435,0.8183519
415436,0.25709736
415437,0.9120698
415438,0.05815561
415439,0.5758513
415440,1.1046112
415441,0.52516705
415442,3.0556333
415443,0.18104342
415444,0.2691261
415445,0.7325938
415446,2.15709
415447,0.08404032
415448,0.10546475
415449,10.411579
415450,0.1269657
415451,1.602568
415452,1.2722858
415453,1.3534963
415454,1.5617315
415455,1.0221229
415456,3.2782538
415457,1.3499993
415458,0.4673091
415459,1.7703735
415460,0.35230288
415461,1.3456783
415462,-0.057163864
415463,1.0295943
415464,0.24670397
415465,2.1642044
415466,3.6557746
415467,1.7688408
415468,0.50461704
415469,26.66232
415470,2.2449934
415471,1.7615426
415472,2.1967661
415473,5.9326973
415474,1.8222233
415475,0.2691261
415476,3.0885508
415477,5.280368
415478,1.4809693
415479,0.2016491
415480,2.7945323
415481,18.32285
415482,3.026218
415483,0.10895931
415484,0.76601595
415485,1.2196614
415486,4.5450306
415487,2.3026407
415488,0.2833904
415489,2.3658082
415490,0.32758382
415491,0.07248003
415492,0.06421609
415493,0.5100011
415494,0.17579506
415495,-0.015667235
415496,14.036968
415497,0.30489272
415498,8.316398
415499,2.7297225
415500,0.34962773
415501,1.5035826
415502,0.6577841
415503,3.6484478
415504,2.1511176
415505,0.09773557
415506,-0.51541907
415507,0.86420727
415508,0.93511486
415509,0.53466773
415510,0.583995
415511,2.5135405
415512,2.6531894
415513,-8.64096
415514,0.4757984
415515,-0.96354765
415516,0.069975674
415517,-0.03176963
415518,0.017733725
415519,0.017733725
415520,0.044784553
415521,0.008740736
415522,0.71235424
415523,0.008740736
415524,0.9047829
415525,0.06337621
415526,0.017733725
415527,0.008740736
415528,0.008212107
415529,1.3985997
415530,13.890052
415531,3.5696297
415532,1.2527568
415533,0.78690624
415534,4.283897
415535,1.5213681
415536,0.21507259
415537,1.2656832
415538,0.7967469
415539,2.8360238
415540,1.7473913
415541,0.54115343
415542,0.17371462
415543,2.1618593
415544,0.35123307
415545,2.9484572
415546,0.5339511
415547,0.85187316
415548,-0.05036993
415549,0.2831832
415550,25.339176
415551,1.6518251
415552,3.4303987
415553,10.174938
415554,1.9455259
415555,1.1446942
415556,0.9004118
415557,1.9341319
415558,1.9837466
415559,0.21591733
415560,0.71699536
415561,0.96232575
415562,6.7030706
415563,2.4353986
415564,9.245419
415565,9.670701
415566,0.009023693
415567,0.8003249
415568,1.1467149
415569,4.9060736
415570,-1.6730329
415571,0.30053625
415572,4.711372
415573,-0.020347884
415574,-0.035764776
415575,0.19330466
415576,-0.06491739
415577,-0.023319086
415578,0.05582182
415579,0.16424693
415580,0.48707664
415581,-0.0107906815
415582,1.1330296
415583,-0.012631345
415584,0.09287901
415585,0.4088256
415586,0.30862156
415587,-0.028911514
415588,0.120392255
415589,0.3280422
415590,0.6811575
415591,0.32396284
415592,-0.043788932
415593,0.17590173
415594,0.18632126
415595,0.1382509
415596,0.09881338
415597,0.09399903
415598,1.0403681
415599,0.48234367
415600,0.13324107
415601,0.10524702
415602,-0.7516228
415603,1.7297903
415604,0.5078121
415605,1.2363845
415606,-0.12180747
415607,-0.05057996
415608,0.70235676
415609,-0.029492805
415610,0.31910622
415611,2.8342938
415612,0.1138534
415613,21.257704
415614,1.1541069
415615,0.11688289
415616,1.3486148
415617,2.1087153
415618,0.9829728
415619,0.9989668
415620,0.7113977
415621,3.0520551
415622,5.247988
415623,0.19949213
415624,0.8189877
415625,0.19626594
415626,0.59936965
415627,0.045484427
415628,0.5245732
415629,0.15694878
415630,1.3050206
415631,0.607046
415632,1.8419436
415633,2.2337415
415634,1.9859962
415635,0.50862515
415636,-0.12154682
415637,0.027883781
415638,0.2721309
415639,1.201445
415640,3.2325358
415641,0.33373976
415642,0.2500429
415643,0.13432115
415644,19.095863
415645,0.9834085
415646,0.06992309
415647,0.039501935
415648,1.5198313
415649,0.5061857
415650,1.2228472
415651,0.8770415
415652,1.1265819
415653,3.7479227
415654,1.5297124
415655,2.027274
415656,0.18261728
415657,0.59419024
415658,0.107591234
415659,0.082263075
415660,0.1483573
415661,0.5430094
415662,0.08853416
415663,0.11603513
415664,0.33392417
415665,0.095390655
415666,-0.018299563
415667,-0.09512861
415668,-0.0067642163
415669,0.019939376
415670,0.25218388
415671,0.25351685
415672,0.17340109
415673,0.34798113
415674,0.036628343
415675,0.05385855
415676,0.14415343
415677,0.10795207
415678,-0.49042737
415679,-1.8988755
415680,3.3962135
415681,0.41296884
415682,0.42012525
415683,0.47089857
415684,-0.14517464
415685,0.27407223
415686,-0.018730318
415687,1.6202636
415688,1.1356746
415689,1.3749013
415690,13.314319
415691,0.142667
415692,0.065828174
415693,0.35181993
415694,0.07207007
415695,-1.2935541
415696,0.66734755
415697,0.15888204
415698,0.05921486
415699,0.014426871
415700,0.23778062
415701,0.60421413
415702,0.106707916
415703,8.106236
415704,5.56757
415705,0.016465312
415706,0.8454635
415707,0.15443641
415708,1.1420718
415709,0.59881914
415710,0.7477
415711,1.5224252
415712,3.611348
415713,1.5968051
415714,2.9490805
415715,0.23332368
415716,0.20457204
415717,0.68685585
415718,3.121383
415719,1.7332855
415720,2.0582273
415721,0.5450324
415722,3.6158316
415723,0.48196307
415724,0.81911814
415725,3.8374214
415726,1.1860627
415727,1.642175
415728,3.9025662
415729,3.3444197
415730,7.680723
415731,0.2511862
415732,0.039528437
415733,-0.9522619
415734,7.1376605
415735,2.026897
415736,1.9920444
415737,0.3851335
415738,-0.00807141
415739,-0.08593301
415740,0.111426264
415741,4.730914
415742,-0.09458044
415743,0.3084659
415744,0.76064783
415745,1.8287034
415746,1.9655198
415747,0.7135358
415748,-0.020347884
415749,5.1779675
415750,1.9329287
415751,-1.3935674
415752,0.87128025
415753,0.142667
415754,0.16922204
415755,1.1330296
415756,-0.06696201
415757,0.3103531
415758,0.057463598
415759,0.022800038
415760,0.9354594
415761,0.63261616
415762,0.1629479
415763,0.121654525
415764,0.16307196
415765,0.14401731
415766,0.044943534
415767,0.46146324
415768,0.11327754
415769,-0.96032137
415770,0.6663916
415771,0.22363476
415772,0.9498007
415773,0.9318668
415774,0.11285834
415775,0.0017695536
415776,1.3869846
415777,0.15852429
415778,0.3307297
415779,0.4393989
415780,0.14968504
415781,1.624677
415782,0.5840722
415783,0.63941157
415784,1.6168236
415785,0.1612277
415786,1.8903735
415787,0.030418536
415788,0.019755607
415789,0.43229026
415790,0.7526192
415791,0.017081691
415792,0.07207007
415793,1.821749
415794,0.29904258
415795,0.3575368
415796,0.039392088
415797,0.4718104
415798,0.29219183
415799,0.15271623
415800,0.2565001
415801,0.21221682
415802,0.8726687
415803,0.44797617
415804,0.7514147
415805,0.5552162
415806,1.6413462
415807,0.81773365
415808,1.3245801
415809,6.1388607
415810,9.077569
415811,3.8472025
415812,0.76126474
415813,3.0324123
415814,0.20215799
415815,0.20372199
415816,-0.05997147
415817,-0.18920344
415818,1.9409068
415819,0.13866876
415820,-0.015654398
415821,2.1478968
415822,0.016934795
415823,0.95406085
415824,0.3214826
415825,0.093843184
415826,21.409094
415827,0.7493087
415828,3.9035597
415829,0.6258065
415830,0.90602916
415831,2.0607631
415832,0.4754365
415833,1.0941993
415834,7.4231615
415835,-0.04561249
415836,0.30742842
415837,0.91954976
415838,1.7583244
415839,3.642381
415840,6.0066953
415841,0.18755692
415842,-1.0187802
415843,3.5478852
415844,4.8024087
415845,0.6612269
415846,1.4911102
415847,0.4624971
415848,0.27675998
415849,0.082263075
415850,0.14683358
415851,0.22867697
415852,0.14683358
415853,0.42404005
415854,-0.23139672
415855,0.10920793
415856,-0.04363124
415857,2.8750737
415858,0.1961918
415859,0.08555698
415860,0.40008402
415861,0.70149505
415862,-0.01630727
415863,0.20212907
415864,0.82264614
415865,0.043200105
415866,0.037390955
415867,0.2893427
415868,0.2637279
415869,0.8630893
415870,1.3195528
415871,1.6387111
415872,-0.021080865
415873,0.24026445
415874,0.37366194
415875,0.20499021
415876,-0.05333047
415877,0.8349521
415878,0.18319324
415879,1.0625991
415880,0.032193594
415881,0.086132824
415882,0.21122764
415883,0.12597007
415884,5.365345
415885,0.7441884
415886,0.17574133
415887,0.40008402
415888,0.28501168
415889,-0.07769497
415890,0.107412405
415891,0.20069395
415892,1.1489942
415893,0.32821238
415894,-0.2637034
415895,0.3158256
415896,0.8759674
415897,0.045728836
415898,5.2696767
415899,4.6505165
415900,0.1826286
415901,0.37619856
415902,1.1926419
415903,1.3234005
415904,0.107824475
415905,0.16006649
415906,2.2236478
415907,0.815812
415908,0.13705045
415909,6.9462633
415910,0.18856937
415911,6.6851764
415912,1.56789
415913,14.728446
415914,0.10628198
415915,0.78538406
415916,4.7296762
415917,0.5607356
415918,12.031903
415919,2.2460513
415920,2.3768127
415921,1.5225725
415922,22.225994
415923,-0.089204185
415924,14.319064
415925,0.47501606
415926,0.3757933
415927,0.05437057
415928,0.3986687
415929,0.15977386
415930,0.15782015
415931,-0.47337937
415932,0.22062503
415933,1.1835738
415934,-0.5682256
415935,0.95930356
415936,0.10077101
415937,0.9478909
415938,4.0945373
415939,7.6914263
415940,4.848497
415941,1.019031
415942,0.42904586
415943,0.1618321
415944,0.26227748
415945,0.107824475
415946,0.81533074
415947,0.42350176
415948,5.1130424
415949,17.091373
415950,0.89509004
415951,8.722313
415952,6.6993437
415953,2.6621814
415954,2.3880272
415955,0.33798677
415956,2.2464533
415957,2.1501932
415958,0.54632
415959,2.142307
415960,0.6645252
415961,0.6290747
415962,18.629225
415963,1.5418361
415964,0.35864222
415965,0.3280422
415966,1.2422366
